question_no,choice_no,choice_text,is_correct
27,4,원본을 안전하게 유통하기 위한 전자적 보안은 고려하지 않기 때문에 불법 유통과 복제의 방지는 불가능하다.,True
28,1,위험을 이해하는 것,False
28,2,첫 번째 조치로 위험을 피할 수 있도록 하는 것,False
28,3,위험 발생 후 즉시 조치하는 것,False
28,4,위험 요소 징후들에 대하여 계속적으로 인지하는 것,True
29,1,RCS(Revision Control System),True
29,2,RTS(Reliable Transfer Service),False
29,3,RPC(Remote Procedure Call),False
29,4,RVS(Relative Version System),False
30,1,화이트박스 테스트의 이해를 위해 논리흐름도(Logic-Flow Diagram)를 이용할 수 있다.,False
30,2,테스트 데이터를 이용해 실제 프로그램을 실행함으로써 오류를 찾는 동적 테스트(Dynamic Test)에 해당한다.,False
30,3,프로그램의 구조를 고려하지 않기 때문에 테스트 케이스는 프로그램 또는 모듈의 요구나 명세를 기초로 결정한다.,True
30,4,테스트 데이터를 선택하기 위하여 검증기준(Test Coverage)을 정한다.,False
31,1,주어진 작업을 수행하는 컴퓨터 명령어를 순서대로 나열한 것으로 볼 수 있다.,False
31,2,검색(Searching)은 정렬이 되지 않은 데이터 혹은 정렬이 된 데이터 중에서 키값에 해당되는 데이터를 찾는 알고리즘이다.,False
31,3,정렬(Sorting)은 흩어져있는 데이터를 키값을 이용하여 순서대로 열거하는 알고리즘이다.,False
31,4,선형 검색은 검색을 수행하기 전에 반드시 데이터의 집합이 정렬되어 있어야 한다.,True
32,1,"6, 9, 7, 3, 5",False
32,2,"3, 9, 6, 7, 5",False
32,3,"3, 6, 7, 9, 5",False
32,4,"6, 7, 3, 5, 9",True
33,1,"(가) - ㉡, (나) - ㉢ è",False
33,2,"(나) - ㉠, (다) - ㉢",True
33,3,"(다) - ㉢, (라) - ㉤ è",False
33,4,"(라) - ㉣, (마) - ㉢",False
34,1,Refactoring,True
34,2,Architecting,False
34,3,Specification,False
34,4,Renewal,False
35,1,구현 단계에서 각 모듈의 개발을 완료한 후 개발자가 명세서의 내용대로 정확히 구현되었는지 테스트한다.,False
35,2,모듈 내부의 구조를 구체적으로 볼 수 있는 구조적 테스트를 주로 시행한다.,False
35,3,"필요 데이터를 인자를 통해 넘겨주고, 테스트 완료 후 그 결과값을 받는 역할을 하는 가상의 모듈을 테스트 스텁(Stub)이라고 한다.",True
35,4,"테스트할 모듈을 호출하는 모듈도 있고, 테스트할 모듈이 호출하는 모듈도 있다.",False
36,1,Coding - 프로그래밍 언어를 가지고 컴퓨터 프로그램을 작성할 수 있는 환경을 제공,False
36,2,Compile - 저급언어의 프로그램을 고급언어 프로그램으로 변환하는 기능,True
36,3,Debugging - 프로그램에서 발견되는 버그를 찾아 수정할 수 있는 기능,False
36,4,Deployment - 소프트웨어를 최종 사용자에게 전달하기 위한 기능,False
37,1,a → b → d → c → e → g → h → f,False
37,2,d → b → g → h → e → f → c → a,True
37,3,d → b → a → g → e → h → c → f,False
37,4,a → b → d → g → e → h → c → f,False
38,1,JSON,True
38,2,HTML,False
38,3,AVPN,False
38,4,DOF,False
39,1,Tree,False
39,2,Graph,False
39,3,Stack,True
39,4,Queue,False
40,1,CppUnit,False
40,2,JUnit,False
40,3,HttpUnit,False
40,4,IgpUnit 氠瑢 3과목 : 데이터베이스 구축,True
41,1,BCNF,True
41,2,제1정규형,False
41,3,제2정규형,False
41,4,제3정규형,False
42,1,Atomicity,True
42,2,Consistency,False
42,3,Isolation,False
42,4,Durability,False
43,1,물리적으로 분산된 데이터베이스 시스템을 논리적으로 하나의 데이터베이스 시스템처럼 사용할 수 있도록 한 것이다.,False
43,2,물리적으로 분산되어 지역별로 필요한 데이터를 처리할 수 있는 지역 컴퓨터(Local Computer)를 분산 처리기(Distributed Processor)라고 한다.,False
43,3,분산 데이터베이스 시스템을 위한 통신 네트워크 구조가 데이터 통신에 영향을 주므로 효율적으로 설계해야 한다.,False
43,4,데이터베이스가 분산되어 있음을 사용자가 인식할 수 있도록 분산 투명성(Distribution Transparency)을 배제해야 한다.,True
44,1,"SELECT 제품명, 판매량 FROM 푸드 ORDER BY 판매량 ASC;",False
44,2,"SELECT 제품명, 판매량 FROM 푸드 ORDER BY 판매량 DESC;",False
44,3,"SELECT 제품명, 판매량 FROM 푸드 WHERE 지점명 = '강남지점' ORDER BY 판매량 ASC;",False
44,4,"SELECT 제품명, 판매량 FROM 푸드 WHERE 지점명 = '강남지점' ORDER BY 판매량 DESC;",True
45,1,"문헌의 색인, 사전과 같이 데이터를 쉽고 빠르게 찾을 수 있도록 만든 데이터 구조이다.",False
45,2,테이블에 붙여진 색인으로 데이터 검색 시 처리 속도 향상에 도움이 된다.,False
45,3,"인덱스의 추가, 삭제 명령어는 각각 ADD, DELETE이다.",True
45,4,대부분의 데이터베이스에서 테이블을 삭제하면 인덱스도 같이 삭제된다.,False
46,1,데이터 타입,False
46,2,데이터 값의 분포,False
46,3,트랜잭션 모델링,True
46,4,접근 빈도,False
47,1,DDL(Data Definition Language),False
47,2,DML(Data Manipulation Language),False
47,3,DCL(Data Control Language),True
47,4,DUL(Data User Language),False
48,1,시스템 카탈로그 또는 시스템 데이터베이스라고도 한다.,False
48,2,"데이터 사전 역시 데이터베이스의 일종이므로 일반 사용자가 생성, 유지 및 수정 할 수 있다.",True
48,3,데이터베이스에 대한 데이터인 메타데이터(Metadata)를 저장하고 있다.,False
48,4,데이터 사전에 있는 데이터에 실제로 접근하는 데 필요한 위치 정보는 데이터 디렉토리(Data Directory)라는 곳에서 관리한다.,False
49,1,모든 튜플은 서로 다른 값을 가지고 있다.,False
49,2,하나의 릴레이션에서 튜플은 특정한 순서를 가진다.,True
49,3,각 속성은 릴레이션 내에서 유일한 이름을 가진다.,False
49,4,모든 속성 값은 원자 값(atomic value)을 가진다.,False
50,1,뷰는 다른 뷰를 기반으로 새로운 뷰를 만들 수 있다.,False
50,2,"뷰는 일종의 가상 테이블이며, update에는 제약이 따른다.",False
50,3,뷰는 기본 테이블을 만드는 것처럼 create view를 사용하여 만들 수 있다.,False
50,4,뷰는 논리적으로 존재하는 기본 테이블과 다르게 물리적으로만 존재하며 카탈로그에 저장된다.,True
51,1,Active,False
51,2,Partially Committed,True
51,3,Committed,False
51,4,Aborted,False
52,1,SELECT,False
52,2,UPDATE,False
52,3,INSERT,False
52,4,GRANT,True
53,1,Atomic key @,False
53,2,Super key,False
53,3,Candidate key,True
53,4,Test key,False
54,1,산출물로 E-R Diagram을 만들 수 있다.,False
54,2,DBMS에 독립적인 개념 스키마를 설계한다.,False
54,3,트랜잭션 인터페이스를 설계 및 작성한다.,True
54,4,논리적 설계 단계의 앞 단계에서 수행된다.,False
55,1,NOT NULL로 널 값을 가지지 않는다.,False
55,2,릴레이션에서 튜플을 구별할 수 있다.,False
55,3,외래키로 참조될 수 있다.,False
55,4,검색할 때 반드시 필요하다.,True
56,1,Relation,False
56,2,Data Structure,False
56,3,Constraint,False
56,4,Operation,True
57,1,WHERE 이름 = '정도일',False
57,2,SELECT 팀코드 FROM 이름 WHERE 직원 = '정도일',False
57,3,WHERE 직원 = '정도일',False
57,4,SELECT 팀코드 FROM 직원 WHERE 이름 = '정도일',True
58,1,릴레이션 내의 튜플들이 각 속성의 도메인에 정해진 값만을 가져야 한다.,False
58,2,기본키는 NULL 값을 가져서는 안되며 릴레이션 내에 오직 하나의 값만 존재해야 한다.,True
58,3,자식 릴레이션의 외래키는 부모 릴레이션의 기본키와 도메인이 동일해야 한다.,False
58,4,자식 릴레이션의 값이 변경될 때 부모 릴레이션의 제약을 받는다.,False
59,1,Degree,False
59,2,Cardinality,True
59,3,Attribute,False
59,4,Cartesian product,False
60,1,CREATE TABLE TO,True
60,2,CREATE TO,False
60,3,CREATE FROM,False
60,4,CREATE TABLE FROM 氠瑢 4과목 : 프로그래밍 언어 활용,False
61,1,strlen(s) - s의 길이를 구한다.,False
61,2,"strcpy(s1, s2) - s2를 s1으로 복사한다.",False
61,3,"strcmp(s1, s2) - s1과 s2를 연결한다.",True
61,4,strrev(s)－s를 거꾸로 변환한다.,False
62,1,０,False
62,2,２,True
62,3,５,False
62,4,14,False
63,1,30,False
63,2,60,True
63,3,80,False
63,4,120,False
64,1,Header Length는 IP 프로토콜의 헤더 길이를 32비트 워드 단위로 표시한다.,False
64,2,Packet Length는 IP 헤더를 제외한 패킷 전체의 길이를 나타내며 최대 크기는 232－1비트이다.,True
64,3,Time To Live는 송신 호스트가 패킷을 전송하기 전 네트워크에서 생존할 수 있는 시간을 지정한 것이다.,False
64,4,Version Number는 IP 프로토콜의 버전번호를 나타낸다.,False
65,1,either,False
65,2,elif,True
65,3,else if,False
65,4,else,False
66,1,경로 선택 메트릭은 홉 카운트(hop count)이다.,False
66,2,라우팅 프로토콜을 IGP와 EGP로 분류했을 때 EGP에 해당한다.,True
66,3,최단 경로 탐색에 Bellman-Ford 알고리즘을 사용한다.,False
66,4,각 라우터는 이웃 라우터들로부터 수신한 정보를 이용하여 라우팅 표를 갱신한다.,False
67,1,FIFO 스케줄링,False
67,2,RR 스케줄링,False
67,3,HRN 스케줄링,True
67,4,MQ 스케줄링,False
68,1,하나 이상의 작업에 대하여 백그라운드에서 수행이 가능하다.,False
68,2,Multi-User는 지원하지만 Multi-Tasking은 지원하지 않는다.,True
68,3,트리 구조의 파일 시스템을 갖는다.,False
68,4,이식성이 높으며 장치 간의 호환성이 높다.,False
69,1,비연결형 서비스를 제공한다.,False
69,2,단순한 헤더 구조로 오버헤드가 적다.,False
69,3,"주로 주소를 지정하고, 경로를 설정하는 기능을 한다.",True
69,4,TCP와 같이 트랜스포트 계층에 존재한다.,False
70,1,복소수(complex) 타입,False
70,2,리스트(list) 타입,False
70,3,사전(dict) 타입,False
70,4,튜플(tuple) 타입,True
71,1,1 2 3 4,False
71,2,0 1 2 3,True
71,3,1 2 3,False
71,4,0 1 2,False
72,1,1,False
72,2,2,False
72,3,3,True
72,4,4,False
73,1,순차적 응집도(Sequential Cohesion),False
73,2,기능적 응집도(Functional Cohesion),False
73,3,시간적 응집도(Temporal Cohesion),False
73,4,우연적 응집도(Coincidental Cohesion),True
74,1,0,False
74,2,1,True
74,3,2,False
74,4,3,False
75,1,체크섬(Checksum) 기능으로 데이터 체크섬(Data Checksum)만 제공한다.,True
75,2,"패킷을 분할, 병합하는 기능을 수행하기도 한다.",False
75,3,비연결형 서비스를 제공한다.,False
75,4,Best Effort 원칙에 따른 전송 기능을 제공한다.,False
76,1,5회,True
76,2,6회,False
76,3,7회,False
76,4,8회,False
77,1,한 프로세스가 운영체제를 호출할 때 전체 프로세스가 대기할 필요가 없으므로 시스템 성능을 높일 수 있다.,False
77,2,동시에 여러 스레드가 커널에 접근할 수 있으므로 여러 스레드가 시스템 호출을 동시에 사용할 수 있다.,False
77,3,각 스레드를 개별적으로 관리할 수 있으므로 스레드의 독립적인 스케줄링이 가능하다.,False
77,4,커널 모드로의 전환 없이 스레드 교환이 가능하므로 오버헤드가 줄어든다.,True
78,1,내용 결합도(Content Coupling),True
78,2,제어 결합도(Control Coupling),False
78,3,공통 결합도(Common Coupling),False
78,4,스탬프 결합도(Stamp Coupling),False
79,1,"14, 10",False
79,2,"14, 14",False
79,3,"18, 10",True
79,4,"18, 14",False
80,1,시스템을 모듈로 분할하면 각각의 모듈을 별개로 만들고 수정할 수 있기 때문에 좋은 구조가 된다.,False
80,2,응집도는 모듈과 모듈 사이의 상호의존 또는 연관 정도를 의미한다.,True
80,3,모듈 간의 결합도가 약해야 독립적인 모듈이 될 수 있다.,False
80,4,모듈 내 구성 요소들 간의 응집도가 강해야 좋은 모듈 설계이다. 氠瑢 5과목 : 정보시스템 구축관리,False
81,1,기밀성 : 인가된 사용자에 대해서만 자원 접근이 가능하다.,False
81,2,무결성 : 인가된 사용자에 대해서만 자원 수정이 가능하며 전송중인 정보는 수정되지 않는다.,False
81,3,가용성 : 인가된 사용자는 가지고 있는 권한 범위 내에서 언제든 자원 접근이 가능하다.,False
81,4,휘발성 : 인가된 사용자가 수행한 데이터는 처리 완료 즉시 폐기 되어야 한다.,True
82,1,tcp wrapper,True
82,2,trace checker,False
82,3,token finder,False
82,4,change detector,False
83,1,BcN(Broadband Convergence Network),False
83,2,Zing,True
83,3,Marine Navi,False
83,4,C-V2X(Cellular Vehicle To Everything),False
84,1,서버 관리실 출입 통제,True
84,2,실행 프로세스 권한 설정,False
84,3,운영체제의 접근 제한,False
84,4,운영체제의 정보 수집 제한,False
85,1,반제품 상태의 제품을 토대로 도메인별로 필요한 서비스 컴포넌트를 사용하여 재사용성 확대와 성능을 보장 받을 수 있게 하는 개발 소프트웨어이다.,False
85,2,"라이브러리와는 달리 사용자 코드에서 프레임워크를 호출해서 사용하고, 그에 대한 제어도 사용자 코드가 가지는 방식이다.",True
85,3,설계 관점에 개발 방식을 패턴화시키기 위한 노력의 결과물인 소프트웨어 디자인 패턴을 반제품 소프트웨어 상태로 집적화시킨 것으로 볼 수 있다.,False
85,4,프레임워크의 동작 원리를 그 제어 흐름의 일반적인 프로그램 흐름과 반대로 동작한다고 해서 IoC(Inversion of Control)이라고 설명하기도 한다.,False
86,1,"클라우드(데이터센터) 기반 암호화 키 생성, 처리, 저장 등을 하는 보안 기기이다.",False
86,2,국내에서는 공인인증제의 폐지와 전자서명법 개정을 추진하면서 클라우드 HSM 용어가 자주 등장하였다.,False
86,3,클라우드에 인증서를 저장하므로 기존 HSM 기기나 휴대폰에 인증서를 저장해 다닐 필요가 없다.,False
86,4,하드웨어가 아닌 소프트웨어적으로만 구현되기 때문에 소프트웨어식 암호 기술에 내재된 보안 취약점을 해결할 수 없다는 것이 주요 단점이다.,True
87,1,Virtual Local Area Network,False
87,2,Simple Station Network,False
87,3,Mesh Network,True
87,4,Modem Network,False
88,1,"화재, 홍수 등 천재지변으로 인한 위협",False
88,2,"하드웨어 파손, 고장으로 인한 장애",False
88,3,"방화, 테러로 인한 하드웨어와 기록장치를 물리적으로 파괴하는 행위",False
88,4,"방화벽 설정의 잘못된 조작으로 인한 네트워크, 서버 보안 위협",True
89,1,Worm,True
89,2,Rogue Ware,False
89,3,Adware,False
89,4,Reflection Attack,False
90,1,Ping of Death,True
90,2,Session Hijacking,False
90,3,Piggyback Attack,False
90,4,XSS,False
91,1,전역 함수 라이브러리,False
91,2,소프트웨어 개발 프레임워크,True
91,3,컨테이너 아키텍처,False
91,4,어휘 분석기,False
92,1,각 단계의 결과가 완전히 확인된 후 다음 단계 진행,True
92,2,소프트웨어 개발에 참여하는 구성원들 간의 의사소통 중시,False
92,3,환경 변화에 대한 즉시 대응,False
92,4,프로젝트 상황에 따른 주기적 조정,False
93,1,대칭 암호 알고리즘은 비교적 실행 속도가 빠르기 때문에 다양한 암호의 핵심 함수로 사용될 수 있다.,False
93,2,대칭 암호 알고리즘은 비밀키 전달을 위한 키 교환이 필요하지 않아 암호화 및 복호화의 속도가 빠르다.,True
93,3,"비대칭 암호 알고리즘은 자신만이 보관하는 비밀키를 이용하여 인증, 전자서명 등에 적용이 가능하다.",False
93,4,"대표적인 대칭키 암호 알고리즘으로는 AES, IDEA 등이 있다.",False
94,1,10000／2,False
94,2,10000／(5×2),True
94,3,10000／5,False
94,4,(2×10000)／5,False
95,1,RBAC,True
95,2,DAC,False
95,3,MAC,False
95,4,QAC,False
96,1,프로젝트를 완성하는데 필요한 man-month로 산정 결과를 나타낼 수 있다.,False
96,2,보헴(Boehm)이 제안한 것으로 원시코드 라인 수에 의한 비용 산정 기법이다.,False
96,3,비교적 작은 규모의 프로젝트 기록을 통계 분석하여 얻은 결과를 반영한 모델이며 중소 규모 소프트웨어 프로젝트 비용 추정에 적합하다.,False
96,4,"프로젝트 개발유형에 따라 object, dynamic, function의 3가지 모드로 구분한다.",True
97,1,"지식 : 주체는 '그가 알고 있는 것'을 보여주며 예시로는 패스워드, PIN 등이 있다.",False
97,2,"소유 : 주체는 '그가 가지고 있는 것'을 보여주며 예시로는 토큰, 스마트카드 등이 있다.",False
97,3,"존재 : 주체는 '그를 대체하는 것'을 보여주며 예시로는 패턴, QR 등이 있다.",True
97,4,"행위 : 주체는 '그가 하는 것'을 보여주며 예시로는 서명, 움직임, 음성 등이 있다.",False
98,1,Aging,False
98,2,Accounting,False
98,3,Authorization,False
98,4,Authentication,True
99,1,SDN(Software Defined Networking),True
99,2,NFS(Network File System),False
99,3,Network Mapper,False
99,4,AOE Network,False
100,1,각 작업들이 언제 시작하고 언제 종료되는지에 대한 일정을 막대 도표를 이용하여 표시한다.,False
100,2,시간선(Time-line) 차트라고도 한다.,False
100,3,수평 막대의 길이는 각 작업의 기간을 나타낸다.,False
100,4,"작업들 간의 상호 관련성, 결정경로, 경계시간, 자원할당 등을 제시한다.",True
