question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
11,1,소프트웨어 설계,MULTIPLE_CHOICE,객체에 대한 설명으로 틀린 것은?,2,False,,2. 클래스는 공통 속성을 공유하는 객체들의 집합이다. [해설작성자 : 풋살은재밌어] 프로그래밍을 해보면 객체를 생성할 때는 클래스를 정의한 후에 클래스 이름으로 객체를 생성한다.. 쉽게 설명하면 클래스는 빵을 굽는 틀이다..그리고 객체는 그 틀에서 구워지는 각각의 빵이라고 생각하면 된다. [해설작성자 : 선택결과],USER_IMPORTED_HWP
12,1,소프트웨어 설계,MULTIPLE_CHOICE,속성과 관련된 연산(Operation)을 클래스 안에 묶어서 하나로 취급하는 것을 의미하는 객체지향 개념은?,3,False,,클래스: 하나 이상의 유사한 객체들을 묶는다. 캡슐화: 서로 관련성이 많은 데이터들과 연산들을 묶는다. [해설작성자 : comcbt.com 이용자] 상속(Inheritance) : 이미 정의된 상위 클래스(부모 클래스)의 모든 속성과 연산을 하위 클래스(자식 클래스)가 물려받는 것 클래스: 하나 이상의 유사한 객체들을 묶는다. 캡슐화(Encapsulation): 서로 관련성이 많은 데이터들과 연산들을 묶는다. 연관관계 (Association) : 2개 이상의 사물이 서로 관련되어 있음을 표현한다 [해설작성자 : comcbt.com 이용자] [해설작성자 : 박지인] Encapsulation -> 인캡슐 -> 캡슐 안에 넣다 -> 클래스 안에 속성과 연산들을 묶어서 넣는다. 이렇게 이해하면 쉽다. [해설작성자 : 선택결과],USER_IMPORTED_HWP
13,1,소프트웨어 설계,MULTIPLE_CHOICE,애자일(Agile) 프로세스 모델에 대한 설명으로 틀린 것은?,1,False,,"애자일 개발 프로세스 : 개발에 대한 개념적 방법론으로, 개발 프로젝트 기간을 짧은 주기로 나눠 반복적인 개발을 하는 것이 특징 1. 고객관점의 효율적이고 민첩한 변화 대응을 중시 [애자일 선언문] "" 프로세스, 도구 보다는 (사람과 상호작용)을 광범위한 문서 보다는 (실제 작동하는 제품)을 계약 협상보다는 (고객 협력)을 계획을 따르기 보다는 (변화 대응)을"" [해설작성자 : 서쳐]",USER_IMPORTED_HWP
14,1,소프트웨어 설계,MULTIPLE_CHOICE,"명백한 역할을 가지고 독립적으로 존재할 수 있는 시스템의 부분으로 넓은 의미에서는 재사용되는 모든 단위라고 볼 수 있으며, 인터페이스를 통해서만 접근할 수 있는 것은?",3,False,,컴포넌트 - 프로그래밍에 있어 재사용이 가능한 각각의 독립된 모듈 - 특정 기능 수행을 위해 독립적으로 분리 [해설작성자 : 보호주의],USER_IMPORTED_HWP
15,1,소프트웨어 설계,MULTIPLE_CHOICE,"GoF(Gang of Four) 디자인 패턴을 생성, 구조, 행동 패턴의 세 그룹으로 분류할 때, 구조 패턴이 아닌 것은?",3,False,,"[구조패턴] -어댑터 -브릿지 -컴포지트 -데코레이터 -퍼싸트 -플라이웨이트 -프록시 [해설작성자 : 아기재혁] 생성패턴 : 객체를 생성하는 것에 대한 패턴 - 추상 팩토리 패턴(abstract factory), 빌더 패턴(builder), 팩토리 메소드 패턴(factory method), 프로토타입 패턴(prototype), 싱글톤 패턴(singleton) 구조패턴 : 구조를 통해 확장성을 꾀하는 패턴 - 어댑터 패턴(adapter), 브릿지 패턴(bridge), 컴포지트 패턴(composite), 데코레이터 패턴(decorator), 퍼사드 패턴(facade), 플라이웨잇 패턴(flysweight), 프록시 패턴(proxy) 행위 패턴 : 행위의 변경, 수정 등을 위한 패턴 - 역할 사슬 패턴(책임 연쇄, chain of reposibility), 커맨드 패턴(command), 인터프리터 패턴(interpreter), 이터레이터 패턴(반복자, iterator), 미디에이터 패턴(중재자, mediator), 메멘토 패턴(memento), 옵저버 패턴(observer), 상태 패턴(state), 전략 패턴(strategy), 템플릿 메소드 패턴(template method), 비지터 패턴(방문자, visitor) [해설작성자 : ㅈㅇㅎ]",USER_IMPORTED_HWP
16,1,소프트웨어 설계,MULTIPLE_CHOICE,"UI와 관련된 기본 개념 중 하나로, 시스템의 상태와 사용자의 지시에 대한 효과를 보여주어 사용자가 명령에 대한 진행 상황과 표시된 내용을 해석할 수 있도록 도와주는 것은?",1,False,,피드백(feedback): 처리된 결과를 측정하고 목표에 도달되었는가를 검사하며 불충분할 경우 다시 입력하는 요소로 사용. [해설작성자 : 내일시험임..],USER_IMPORTED_HWP
17,1,소프트웨어 설계,MULTIPLE_CHOICE,"UI의 종류로 멀티 터치(Multi-touch), 동작 인식(Gesture Recognition) 등 사용자의 자연스러운 움직임을 인식하여 서로 주고받는 정보를 제공하는 사용자 인터페이스를 의미하는 것은?",3,False,,"사용자 인터페이스(UI, User Interface)의 구분 - CLI(Command Line Interface) : 텍스트 형태 인터페이스 - GUI(Graphical User Interface) : 마우스로 선택하여 작업하는 그래픽 환경 인터페이스 - NUI(Natural User Interface) : 사용자의 말이나 행동으로 기기 조작하는 인터페이스 - VUI(Voice User Interface) : 사람의 음성으로 기기 조작하는 인터페이스 - OUI(Organic User Interface) : 모든 사물과 사용자 간의 상호작용을 위한 인터페이스 [해설작성자 : 밤진] NUI : 사용자의 자연스러운 행동(터치, 제스처, 음성 등)을 통해 시스템과 상호작용하는 인터페이스 ex) - 멀티터치 스마트폰(두 손가락 이상의 터치가 가능한 스마트폰) - kinect(마이크로소프트가 개발한 동작 인식_모션 캡처_장치) - Siri(VUI도 맞음) [해설작성자 : 내가공부중]",USER_IMPORTED_HWP
18,1,소프트웨어 설계,MULTIPLE_CHOICE,소프트웨어 모델링과 관련한 설명으로 틀린 것은?,1,False,,모델링 작업의 결과물은 다른 모델링 작업에 영향을 줄 수 있음. ex) 유스케이스 명세로부터 필요한 요소들을 가져와 도메인 모델로 정리할 수 있음. [해설작성자 : 이예림],USER_IMPORTED_HWP
19,1,소프트웨어 설계,MULTIPLE_CHOICE,유스케이스 다이어그램(Use Case Diagram)에 관련된 내용으로 틀린 것은?,1,False,,"액터: 시스템과 상호작용하는 모든 것(사람, 기계, 시스템 등) [해설작성자 : 칼방이] 액터:시스템과 상호작용하는 모든 외부요소로, 사람이나 외부시스템을 의미함 [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
20,1,소프트웨어 설계,MULTIPLE_CHOICE,소프트웨어 아키텍처 모델 중 MVC(Model-View-Controller)와 관련한 설명으로 틀린 것은?,2,False,,한 개의 모델에 대해 여러 개의 뷰를 만들 수 있음 [해설작성자 : 밤진] 모델은 서브 시스템의 핵심 기능과 데이터를 보관하며 MVC 패턴에서는 여러 개의 뷰를 만들 수 있으므로 한 개의 모델에 대해 여러 개의 뷰를 필요로 하는 대화형 어플리케이션에 적합하다. [해설작성자 : 여름] 전달자 역할은 모델(Model)이 아닌 제어(Controller)이다. [해설작성자 : 좋은데이] 제어(controller)는 뷰(view)와 모델(model)사이에서 전달자 역할을 수행한다. [해설작성자 : comcbt.com 이용자] 氠瑢 2과목 : 소프트웨어 개발,USER_IMPORTED_HWP
21,2,소프트웨어 개발,MULTIPLE_CHOICE,통합 테스트(Integration Test)와 관련한 설명으로 틀린 것은?,3,False,,"상향식 통합 테스트 (Bottom Up Integration Test) - 프로그램의 하위 모듈에서 상위 모듈 방향으로 통합 - 하나의 주요 제어 모듈과 관련된 종속 모듈의 그룹인 클러스터(Cluster)필요 하향식 통합 테스트 (Top Down Integration Test) - 상위 모듈에서 하위 모듈 방향으로 통합 - 깊이 우선 통합법, 넓이 우선 통합법 사용 - 초기부터 사용자에게 시스템 구조를 보여줌 [해설작성자 : 전자공학도] 상향식 테스트 : 드라이버(Driver) 이용(하위 모듈 호출, 매개변수 전달, 테스트 후 결과 도출) 하향식 테스트 : 스텁(Stub) 이용(모듈 기능만 수행) [해설작성자 : 공부하자]",USER_IMPORTED_HWP
22,2,소프트웨어 개발,MULTIPLE_CHOICE,"다음과 같이 레코드가 구성되어 있을 때, 이진 검색 방법으로 14를 찾을 경우 비교되는 횟수는? [이미지 자료 참조]",2,True,media/q022_media_1.gif,"이진 탐색 동작 방식 1. 배열의 중간 값을 찾음 2. 중간 값과 검색 값을 비교 2-1. 중간 값이 검색 값과 같으면 끝. 2-2. 중간 값보다 검색 값이 크다면 오른쪽 구간을 탐색 2-3. 중간 값보다 검색 값이 작다면 왼쪽 구간을 탐색 3.값을 찾거나 간격이 비었을 때까지 반복 [해설작성자 : 전자공학도] 다음은 이진 탐색 관련 내용을 정리한 문장입니다: --- ""low 값이 0이고, 배열이 1부터 15까지 순차적으로 증가한다면 `high = 14`는 이미 값 15를 가리키는 것 아니냐""는 의문이 있을 수 있습니다..그러나 이진 탐색은 값이 아닌 인덱스를 기준으로 동작하기 때문에, `high = 14`는 단순히 인덱스 14를 의미하며, 해당 값이 이미 선택되었다는 뜻은 아닙니다. 이진 탐색에서 `mid = (low + high) // 2`는 배열의 중간값이 아니라 **중간 인덱스**를 의미하며, 실제 비교는 `arr[mid]`와 target 값 사이에서 이루어집니다. 이 문제가 1부터 15까지 등차 수열 형태의 '친절한' 배열이기 때문에 중간 인덱스가 가리키는 값도 실제 중간값처럼 보일 수 있지만, 등차 수열이 아닌 경우에는 같은 방식으로 계산된 `mid`가 가리키는 값은 논리적 '중간값'과 다를 수 있습니다. 따라서, 이진 탐색은 ""정렬된 배열""이라는 전제가 성립할 때 인덱스를 기준으로 범위를 좁혀가는 알고리즘이며, 배열이 등차 수열인지 여부는 탐색의 정확성과는 무관합니다. [해설작성자 : 엽이]",USER_IMPORTED_HWP
23,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어 공학에서 워크스루(Walkthrough)에 대한 설명으로 틀린 것은?,3,False,,워크스루: 요구사항 명세서 작성자를 포함하여 사전 검토한 후에 짧은 검토 회의를 통해 결함을 발견 인스펙션: 요구사항 명세서 작성자를 제외한 다른 검토 전문가들이 요구사항 명세서를 확인하면서 결함을 발견. [해설작성자 : 칼방이],USER_IMPORTED_HWP
24,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어의 개발과정에서 소프트웨어의 변경사항을 관리하기 위해 개발된 일련의 활동을 뜻하는 것은?,2,False,,"복호화 - 디코딩, 즉 부호화된 데이터를 부호화 되기 전 형태로 바꾸어, 사람이 읽을 수 있는 형태로 되돌려 놓는것 저작권 - 창작물을 만든이가 자기 저작물에 대해 가지는 법적권리 크랙 - 소프트웨어를 수정하여 소프트웨어를 크랙하는 사람이 원하지 않는 기능들, 보통은 수정 방식(복사 보호, 소프트웨어 조작 보호)을 비활성화하거나 제거하는 일 [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
25,2,소프트웨어 개발,MULTIPLE_CHOICE,테스트 케이스와 관련한 설명으로 틀린 것은?,1,False,,"테스트케이스(Test Case) - 구현된 소프트웨어가 사용자의 요구사항을 정확하게 준수했는지를 확인하기 위해 설계된 입력값, 실행 조건, 기대 결과 등으로 구성된 테스트 항목에 대한 명세서를 의미한다. - 테스트의 목표 및 테스트 방법을 결정하고 테스트 케이스를 작성해야 한다. [해설작성자 : 두목넷]",USER_IMPORTED_HWP
26,2,소프트웨어 개발,MULTIPLE_CHOICE,객체지향 개념을 활용한 소프트웨어 구현과 관련한 설명 중 틀린 것은?,2,False,,- JAVA에서 정보은닉(InformationHiding)을 표기할 때 private의 의미는 외부에서 클래스 내부 정보에 접근하지 못하도록 하는 '접근금지'이다. [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
27,2,소프트웨어 개발,MULTIPLE_CHOICE,DRM(Digital Rights Management)과 관련한 설명으로 틀린 것은?,4,False,,"DRM(Digital Right Management) - 디지털 콘텐트의 지적재산권보호, 관리 기능 및 안전한 유통과 배포를 보장하는 솔루션이다. - 디지털 콘텐트의 지적재산권을 보호하는 권한통제기술, 사용권한제어 기술, 패키징 기술, 라이선스 관리를 포함한 유통체계이다. - 디지털 콘텐츠와 디바이스의 사용을 제한하기 위해 하드웨어 제조업자, 저작권자, 출판업자 등이 사용할 수 있는 접근 제어 기술을 의미한다. [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
28,2,소프트웨어 개발,MULTIPLE_CHOICE,위험 모니터링의 의미로 옳은 것은?,4,False,,위험 모니터링(monitoring)의 의미 -> 위험 요소 징후들에 대하여 계속적으로 인지하는 것 [해설작성자 : 내일정치기합격기원],USER_IMPORTED_HWP
29,2,소프트웨어 개발,MULTIPLE_CHOICE,동시에 소스를 수정하는 것을 방지하며 다른 방향으로 진행된 개발 결과를 합치거나 변경 내용을 추적할 수 있는 소프트웨어 버전 관리 도구는?,1,False,,RCS(Revision Control System) - CVS와의 차이점은 소스 파일의 수정을 한 사람만으로 제한한다. - 다수의 사용자가 동시에 파일 수정을 할 수 없도록 파일 잠금 방식으로 버전을 관리하는 도구이다. - 다른 방향으로 진행된 개발 결과를 합치거나 변경 내용을 추적할 수 있다. [해설작성자 : 두목넷] RPC(Remote Procedure call) - 별도의 원격 제어를 위한 코딩 없이 다른 주소 공간에서 리모트의 함수나 프로시저를 실행 할 수 있게 해주는 프로세스간 통신 [해설작성자 : comcbt.com 이용자] RTS : 데이터 통신에서 신뢰성이 보장된 전송 서비스를 제공하는 프로토콜 RPC : 네트워크상에서 원격지의 다른 프로세스나 컴퓨터에서 실행중인 함수나 프로시저를 호출하는 프로토콜 RVS : 파일의 상대적인 버전을 관리하는 도구로 각 파일 버전의 차이를 저장해 파일 복원과 변경 이력을 추적 [해설작성자 : 정처기 공부중],USER_IMPORTED_HWP
30,2,소프트웨어 개발,MULTIPLE_CHOICE,화이트박스 테스트와 관련한 설명으로 틀린 것은?,3,False,,"3. 프로그램 구조를 고려하지 않는 것은 == 블랙박스 테스트 [해설작성자 : comcbt.com 이용자] 화이트박스 테스트는 정적 분석뿐만 아니라 동적 분석에도 사용될 수 있습니다..정적 분석에서는 코드를 실행하지 않고 검토하여 문제점을 찾지만, 동적 분석에서는 실제로 코드를 실행시켜 테스트를 진행합니다..화이트박스 테스트의 경우, 프로그램의 내부 구조를 알고 있는 상태에서 테스트를 진행하기 때문에, 로직 흐름도를 이용하여 로직 검증을 할 수 있고, 동적 테스트를 통해 실제 실행 중인 프로그램의 동작을 검증할 수도 있습니다. 제시된 문제에서 언급된 ""프로그램의 구조를 고려하지 않고 때때로 테스트 케이스는 프로그램 코드 또는 모듈의 우연한 면을 기준으로 결정한다""는 주장은 화이트박스 테스트에 부합하지 않습니다..화이트박스 테스트는 프로그램의 내부 구조에 기반하여 체계적으로 테스트 케이스를 설계하기 때문에 우연한 면을 기준으로 테스트 케이스를 설계하지 않습니다. [해설작성자 : comcbt 사용자]",USER_IMPORTED_HWP
31,2,소프트웨어 개발,MULTIPLE_CHOICE,알고리즘과 관련한 설명으로 틀린 것은?,4,False,,"선형 검색 - 처음부터 끝까지 하나씩 순서대로 비교하며 원하는 값을 찾아내는 검색 [해설작성자 : 전자공학도] 이진검색 - 검색을 수행하기 전에 반드시 데이터의 집합이 정렬되어 있어야 한다. [해설작성자 : 문은식] 검색 알고리즘 - 선형 검색(Linear Search) : 데이터가 모인 집합(배열, 리스트 등)의 처음부터 끝까지 하나씩 순서대로 비교하며 검색(순차검색) - 이진 검색(Binary Search) : 데이터가 오름차순 혹은 내림차순으로 정렬된 배열에서 검색하는 알고리즘(이분 검색) [해설작성자 : 공부하자]",USER_IMPORTED_HWP
32,2,소프트웨어 개발,MULTIPLE_CHOICE,버블 정렬을 이용하여 다음 자료를 오름차순으로 정렬할 경우 PASS 1의 결과는? [이미지 자료 참조],4,True,media/q032_media_1.gif,버블 정렬은 첫위치부터 시작해서 오른쪽값과 비교 PASS 1 첫 버블 정렬이 끝난상태 96 비교 -> 69735 -> 97비교 -> 67935 -> 93비교 -> 67395 -> 95비교 -> 67359 [해설작성자 : 합격기원],USER_IMPORTED_HWP
33,2,소프트웨어 개발,MULTIPLE_CHOICE,다음은 인스펙션(Inspection) 과정을 표현한 것이다. (가)~(마)에 들어갈 말을 보기에서 찾아 바르게 연결한 것은? [이미지 자료 참조],2,True,media/q033_media_1.gif,가 - 사전교육 나 - 준비 다 - 인스펙션 회의 라 - 수정 마 - 후속조치 [해설작성자 : ㅎㅎ],USER_IMPORTED_HWP
34,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어를 보다 쉽게 이해할 수 있고 적은 비용으로 수정할 수 있도록 겉으로 보이는 동작의 변화 없이 내부구조를 변경하는 것은?,1,False,,"1. Refactoring - 코드의 구조 재조정 2. Architecting - 설계관련 3. Specification - 명세서 4. Renewal - 유지보수 ※ 리팩토링과 유지보수는 다른 개념이다. [해설작성자 : 익명] 리팩토링: 소프트웨어를 보다 쉽게 이해할 수 있고 적은 비용으로 수정할 수 있도록 겉으로 보이는 동작의 변화 없이 내부구조를 변경하는 것으로, 코드 스멜(code smell)을 고치고 다듬는 과정이다. [해설작성자 : 제발합격]",USER_IMPORTED_HWP
35,2,소프트웨어 개발,MULTIPLE_CHOICE,단위 테스트(Unit Test)와 관련한 설명으로 틀린 것은?,3,False,,"필요 데이터를 인자를 통해 넘겨주고, 테스트 완료 후 그 결과값을 받는 역할을 하는 가상의 모듈을 테스트 드라이버(test driver)라고 한다..반대로 테스트 스텁(test stub)은 인자를 통해 받은 값을 가지고 수행한 후 그 결과를 테스트할 모듈에 넘겨주는 역할을 한다. [해설작성자 : 물집메고먐미밌다]",USER_IMPORTED_HWP
36,2,소프트웨어 개발,MULTIPLE_CHOICE,IDE(Integrated Development Environment) 도구의 각 기능에 대한 설명으로 틀린 것은?,2,False,,Compile - 주어진 언어로 작성된 컴퓨터 프로그램을 다른 언어의 동등한 프로그램으로 변환하는 기능 [해설작성자 : comcbt.com 이용자] 컴파일은 고급언어(사람이 인식하는 언어)에서 저급언어(기계어)로 바꾸는 변환하는 기능 [해설작성자 : 나진관에혁인데],USER_IMPORTED_HWP
37,2,소프트웨어 개발,MULTIPLE_CHOICE,아래 Tree 구조에 대하여 후위 순회(Postorder) 한 결과는? [이미지 자료 참조],2,True,media/q037_media_1.gif,"전위 운행 (PreOrder) => Root, Left, Right 순서 중위 운행 (InOrder) => Left, Root, Right 순서 후위 운행 (PostOrder) => Left, Right, Root 순서 [해설작성자 : Eclatz] pre_order (전위순회) : 뿌리 먼저 방문 in_order (중위순회) : 왼쪽 하위 노드 방문 후 뿌리 방문 post_order (후위순회) : 하위 노드 모두 방문 후 뿌리 방문 [해설작성자 : 트리맨]",USER_IMPORTED_HWP
38,2,소프트웨어 개발,MULTIPLE_CHOICE,인터페이스 구현 시 사용하는 기술로 속성-값 쌍(Attribute-Value Pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷은?,1,False,,JSON(JavaScript Object Notation) - 속성-값 쌍(Attribute-Value Pairs)으로 이루어진 데이터 오브젝트를 전달하기 위해 사용하는 개방형 표준 포맷이다. - AJAX(Asynchronous Javascript and XML)에서 많이 사용되고 XML을 대체하는 주요 데이터 포맷이다. - 언어 독립형 데이터 포맷으로 다양한 프로그래밍 언어에서 사용되고 있다. [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
39,2,소프트웨어 개발,MULTIPLE_CHOICE,"순서가 있는 리스트에서 데이터의 삽입(Push), 삭제(Pop)가 한 쪽 끝에서 일어나며 LIFO(Last-In-First-Out)의 특징을 가지는 자료구조는?",3,False,,"1. Stack = LIFO, 한 쪽 끝에서 일어남 2. Queue = FIFO, 양방향에서 일어남 3. Tree & Graph 는 비선형구조 [해설작성자 : IJH]",USER_IMPORTED_HWP
