question_no,choice_no,choice_text,is_correct
58,2,"위치 투명성, 중복 투명성, 병행 투명성, 장애 투명성을 목표로 한다.",False
58,3,"데이터베이스의 설계가 비교적 어렵고, 개발 비용과 처리 비용이 증가한다는 단점이 있다.",False
58,4,"분산 데이터베이스 시스템의 주요 구성 요소는 분산 처리기, P2P 시스템, 단일 데이터베이스 등이 있다.",True
59,1,V_1만 삭제된다.,False
59,2,V_2만 삭제된다.,False
59,3,V_1과 V_2 모두 삭제된다.,True
59,4,V_1과 V_2 모두 삭제되지 않는다.,False
60,1,시스템 활용도 최대화,False
60,2,사용자에 대한 응답시간 최소화,False
60,3,데이터베이스 공유 최소화,True
60,4,데이터베이스 일관성 유지 氠瑢 4과목 : 프로그래밍 언어 활용,False
61,1,IPv6의 패킷 헤더는 32 octet의 고정된 길이를 가진다.,True
61,2,IPv6는 주소 자동설정(Auto Configuration) 기능을 통해 손쉽게 이용자의 단말을 네트워크에 접속시킬 수 있다.,False
61,3,IPv4는 호스트 주소를 자동으로 설정하며 유니캐스트(Unicast)를 지원한다.,False
61,4,IPv4는 클래스별로 네트워크와 호스트 주소의 길이가 다르다.,False
62,1,"7, 5",False
62,2,"8, 5",False
62,3,"8, 9",True
62,4,"7, 9",False
63,1,HTTP,True
63,2,HDLC,False
63,3,PPP,False
63,4,LLC,False
64,1,||,True
64,2,&&,False
64,3,**,False
64,4,!=,False
65,1,표시방법은 8비트씩 4부분의 10진수로 표시한다.,True
65,2,2128개의 주소를 표현할 수 있다.,False
65,3,"등급별, 서비스별로 패킷을 구분할 수 있어 품질보장이 용이하다.",False
65,4,확장기능을 통해 보안기능을 제공한다.,False
66,1,문법 오류로 인해 발생한 것,True
66,2,오동작이나 결과에 악영향을 미칠 수 있는 실행 시간 동안에 발생한 오류,False
66,3,배열의 인덱스가 그 범위를 넘어서는 경우 발생하는 오류,False
66,4,존재하지 않는 파일을 읽으려고 하는 경우에 발생하는 오류,False
67,1,ECP(Error Checking Protocol),False
67,2,ARP(Address Resolution Protocol),False
67,3,ICMP(Internet Control Message Protocol),True
67,4,PPP(Point-to-Point Protocol),False
68,1,응집도는 낮게 결합도는 높게 설계한다.,False
68,2,응집도는 높게 결합도는 낮게 설계한다.,True
68,3,양쪽 모두 낮게 설계한다.,False
68,4,양쪽 모두 높게 설계한다.,False
69,1,Dekker Algorithm,False
69,2,Lamport Algorithm,False
69,3,Peterson Algorithm,False
69,4,Semaphore,True
70,1,다른 것들과 구별될 수 있는 독립적인 기능을 가진 단위(Unit)이다.,False
70,2,독립적인 컴파일이 가능하다.,False
70,3,유일한 이름을 가져야 한다.,False
70,4,다른 모듈에서의 접근이 불가능해야 한다.,True
71,1,3KB,True
71,2,23KB,False
71,3,64KB,False
71,4,67KB,False
72,1,i = 0,False
72,2,i = 1,False
72,3,i = 3,False
72,4,i = 4,True
73,1,BCDABCA,False
73,2,BCDABCC,True
73,3,CDDACCC,False
73,4,CDDACCA,False
74,1,Ant,False
74,2,Kerberos,True
74,3,Maven,False
74,4,Gradle,False
75,1,"1, 2, 0",False
75,2,"2, 4, 3",False
75,3,"1, 4, 2",False
75,4,"4, 1, 3",True
76,1,E,False
76,2,V,False
76,3,R ð,True
76,4,O,False
77,1,[이미지 보기],True
77,2,[이미지 보기],False
77,3,[이미지 보기],False
77,4,[이미지 보기],False
78,1,0,False
78,2,1,True
78,3,3,False
78,4,5,False
79,1,[이미지 보기],False
79,2,[이미지 보기],True
79,3,[이미지 보기],False
79,4,[이미지 보기],False
80,1,사용자 명령을 해석하고 커널로 전달하는 기능을 제공한다.,False
80,2,반복적인 명령 프로그램을 만드는 프로그래밍 기능을 제공한다.,False
80,3,쉘 프로그램 실행을 위해 프로세스와 메모리를 관리한다.,True
80,4,초기화 파일을 이용해 사용자 환경을 설정하는 기능을 제공한다. 氠瑢 5과목 : 정보시스템 구축관리,False
81,1,소프트웨어 개발 프로세스를 위험 관리(Risk Management) 측면에서 본 모델이다.,False
81,2,위험 분석(Risk Analysis)은 반복적인 개발 진행 후 주기의 마지막 단계에서 최종적으로 한 번 수행해야 한다.,True
81,3,시스템을 여러 부분으로 나누어 여러 번의 개발 주기를 거치면서 시스템이 완성된다.,False
81,4,요구사항이나 아키텍처를 이해하기 어렵다거나 중심이 되는 기술에 문제가 있는 경우 적합한 모델이다.,False
82,1,고가용성 솔루션(HACMP),True
82,2,점대점 연결 방식(Point-to-Point Mode),False
82,3,스턱스넷(Stuxnet),False
82,4,루팅(Rooting),False
83,1,Parsing,False
83,2,LAN Tapping,False
83,3,Switch Jamming,True
83,4,FTP Flooding,False
84,1,DAS,True
84,2,NAS,False
84,3,BSA,False
84,4,NFC,False
85,1,무결성 검사,False
85,2,응용 프로그램의 보안 설정 및 패치(Patch) 적용,False
85,3,중단 프로세스 및 닫힌 포트 위주로 확인,True
85,4,불필요한 서비스 및 악성 프로그램의 확인과 제거,False
86,1,요구 분석 및 설계단계를 거치지 않으며 항상 통합 테스트를 중심으로 V 형태를 이룬다.,True
86,2,Perry에 의해 제안되었으며 세부적인 테스트 과정으로 구성되어 신뢰도 높은 시스템을 개발하는데 효과적이다.,False
86,3,개발 작업과 검증 작업 사이의 관계를 명확히 드러내 놓은 폭포수 모델의 변형이라고 볼 수 있다.,False
86,4,폭포수 모델이 산출물 중심이라면 V 모델은 작업과 결과의 검증에 초점을 둔다.,False
87,1,블루버그(BlueBug) - 블루투스의 취약점을 활용하여 장비의 파일에 접근하는 공격으로 OPP를 사용하여 정보를 열람,False
87,2,블루스나프(BlueSnarf) - 블루투스를 이용해 스팸처럼 명함을 익명으로 퍼뜨리는 것,False
87,3,블루프린팅(BluePrinting) - 블루투스 공격 장치의 검색 활동을 의미,True
87,4,블루재킹(BlueJacking) - 블루투스 장비사이의 취약한 연결 관리를 악용한 공격,False
88,1,Ping of Death 공격은 정상 크기보다 큰 ICMP 패킷을 작은 조각(Fragment)으로 쪼개어 공격 대상이 조각화 된 패킷을 처리하게 만드는 공격 방법이다.,False
88,2,Smurf 공격은 멀티캐스트(Multicast)를 활용하여 공격 대상이 네트워크의 임의의 시스템에 패킷을 보내게 만드는 공격이다.,True
88,3,SYN Flooding은 존재하지 않는 클라이언트가 서버별로 한정된 접속 가능 공간에 접속한 것처럼 속여 다른 사용자가 서비스를 이용하지 못하게 하는 것이다.,False
88,4,Land 공격은 패킷 전송 시 출발지 IP주소와 목적지 IP주소 값을 똑같이 만들어서 공격 대상에게 보내는 공격 방법이다.,False
89,1,Apache,False
89,2,Hadoop,False
89,3,Honeypot,True
89,4,MapReduce,False
90,1,StackGuard,False
90,2,Docker,True
90,3,Cipher Container,False
90,4,Scytale,False
91,1,프로젝트를 이루는 소작업 별로 언제 시작되고 언제 끝나야 하는지를 한 눈에 볼 수 있도록 도와준다.,False
91,2,자원 배치 계획에 유용하게 사용된다.,False
91,3,CPM 네트워크로부터 만드는 것이 가능하다.,False
91,4,수평 막대의 길이는 각 작업(Task)에 필요한 인원수를 나타낸다.,True
92,1,Li-fi,False
92,2,Scrapy,True
92,3,CrawlCat,False
92,4,SBAS,False
93,1,SQL 삽입 : 사용자의 입력 값 등 외부 입력 값이 SQL 쿼리에 삽입되어 공격,False
93,2,크로스사이트 스크립트 : 검증되지 않은 외부 입력 값에 의해 브라우저에서 악의적인 코드가 실행,False
93,3,운영체제 명령어 삽입 : 운영체제 명령어 파라미터 입력 값이 적절한 사전검증을 거치지 않고 사용되어 공격자가 운영체제 명령어를 조작,False
93,4,자원 삽입 : 사용자가 내부 입력 값을 통해 시스템 내에 사용이 불가능한 자원을 지속적으로 입력함으로써 시스템에 과부하 발생,True
94,1,보안에 취약,True
94,2,대용량 볼륨에 효율적,False
94,3,자동 압축 및 안정성,False
94,4,저용량 볼륨에서의 속도 저하,False
95,1,8,False
95,2,24,False
95,3,64,True
95,4,132,False
96,1,022,True
96,2,666,False
96,3,777,False
96,4,755,False
97,1,tapping,False
97,2,xtslog,False
97,3,linuxer,False
97,4,wtmp,True
98,1,낙관치,False
98,2,기대치,False
98,3,비관치,False
98,4,모형치,True
99,1,PLCP(Packet Level Control Processor),False
99,2,Traffic Distributor,False
99,3,Packet Tree,False
99,4,DPI(Deep Packet Inspection),True
100,1,프로젝트 수행 시 예상되는 변화를 배제하고 신속히 진행하여야 한다.,True
100,2,"프로젝트에 최적화된 개발 방법론을 적용하기 위해 절차, 산출물 등을 적절히 변경하는 활동이다.",False
100,3,관리 측면에서의 목적 중 하나는 최단기간에 안정적인 프로젝트 진행을 위한 사전 위험을 식별하고 제거하는 것이다.,False
100,4,기술적 측면에서의 목적 중 하나는 프로젝트에 최적화된 기술 요소를 도입하여 프로젝트 특성에 맞는 최적의 기법과 도구를 사용하는 것이다.,False
