question_no,subject_no,subject_name,question_type,question_text,correct_choice_no,has_media,media_paths,explanation,source_type
11,1,소프트웨어 설계,MULTIPLE_CHOICE,UML 다이어그램 중 정적 다이어그램이 아닌 것은?,3,False,,"정적(구조적)다이어그램 : 클객컴배복패 [해설작성자 : 함초롬다솜] UML 다이어그램의 분류 정적구조: [ 클래스, 객체, 패키지, 컴포넌트, 복합구조, 배치] 동적구조: [ 유스케이스, 상태, 활동, 시퀀스, 통신, 상호작용, 타이밍] 1) 클래스 다이어그램: 객체를 생성하기 위한 도구 2) 객체 다이어그램: 객체 간의 연결관계를 표현 3) 패키지 다이어그램: 객체들의 그룹화된 표현 4) 컴포넌트 다이어그램: 시스템을 구성하는 컴포넌트 사이에 의존관계를 표현 * 컴포넌트는 1개이상의 클래스로 구현됨. 5) 복합구조 다이어그램: 컴포넌트나 클래스의 내부 구조를 보여주기 위해 사용  내부 연결 형태를 표현 6) 배치 다이어그램: H/W자원에 연결된 S/W컴포넌트 배치를 표현 7) 유스케이스 다이어그램: 사용자의 시각에서 소프트웨어의 범위와 기능을 표현 8) 상태 다이어그램: 시간에 따라 객체가 변하는 상태를 표현 9) 활동 다이어그램: 객체의 동적행위를 활동으로 표현 10) 시퀀스 다이어그램: 객체간 상호작용을 시간 순서에 따른 메시지로 표현 11) 통신 다이어그램: 객체간 상호작용을 관계형태의 메세지로 표현 12) 상호작용 다이어그램: 객체들의 상호작용 관계를 표현 13) 타이밍 다이어그램: 객체간 상태변화를 구체적인 시간으로 표현 [해설작성자 : SD.신동] 오답해설) 순차(sequence,시퀀스) 다이어그램은 동적 다이어그램 [해설작성자 : 코봉이]",USER_IMPORTED_HWP
12,1,소프트웨어 설계,MULTIPLE_CHOICE,"LOC기법에 의하여 예측된 총 라인수가 36000라인, 개발에 참여할 프로그래머가 6명, 프로그래머들의 평균 생산성이 월간 300라인일 때 개발에 소요되는 기간을 계산한 결과로 가장 옳은 것은?",4,False,,"노력(M/M)=원시 코드 라인 수(LOC)/(1인당 월 평균 생산 코드 라인 수) =36,000라인/300라인=120M/M 개발 기간=(M/M)/참여 인원=120(M/M)/6명=20개월 [해설작성자 : KMJ2022] 개발 소요기간 계산방법 총 라인수 36000라인 / 월간 평균 생산성 300라인 = 120 120 / 참여 프로그래머 6 = 20 20개월 [해설작성자 : 양기모띄]",USER_IMPORTED_HWP
13,1,소프트웨어 설계,MULTIPLE_CHOICE,클래스 설계원칙에 대한 바른 설명은?,2,False,,"단일 책임원칙 : 하나의 객체는 하나의 동작만의 책임을 가짐 개방-폐쇄의 원칙 : 클래스는 확장에 대해 열려 있어야 하며 변경에 대해 닫혀 있어야 한다. 리스코프 교체의 원칙 : 특정 메소드가 상위 타입을 인자로 사용할 때, 그 타입의 하위 타입도 문제 없이 작동해야 함 의존관계 역전의 원칙 : 상위 계층이 하위 계층에 의존하는 전통적인 의존관계를 반전(역전)시킴으로써 상위 계층이 하위 계층의 구현으로부터 독립되게 할 수 있음 [해설작성자 : 양기모띄]",USER_IMPORTED_HWP
14,1,소프트웨어 설계,MULTIPLE_CHOICE,GoF(Gangs of Four) 디자인 패턴에서 생성(Creational) 패턴에 해당하는 것은?,3,False,,"생성 : 3. 추상 팩토리(Abstract Factory) 구조 : 1. 컴퍼지트(Composite), 2. 어댑터(Adapter) 행위 : 4. 옵서버(Observer) 생성패턴 - 추상팩토리(Abstract Factory) - 빌더(Builder) - 팩토리메서드(FactoryMethod) - 프로토타입(Prototype) - 싱글톤(Singleton) 구조패턴 - 어댑터(Adapter) - 브리지(Bridge) - 컴포지트(Composite) - 데코레이터(Decorator) - 파사드(Facade) - 플라이웨이트(Flyweight) - 프록시(Proxy) 행위패턴 - 책임 연쇄(Chain of Responsibility) - 커맨드(Command) - 인터프리터(InterPreter) - 이터레이터(Iterator) - 중재자(Mediator) - 메멘토(Memento) - 옵서버(Observer) - 상태(State) - 전략(Strategy) - 템플릿메서드(Template Method) - 방문자(Visitor) [해설작성자 : 양기모띄]",USER_IMPORTED_HWP
15,1,소프트웨어 설계,MULTIPLE_CHOICE,아키텍처 설계과정이 올바른 순서로 나열된 것은? [이미지 자료 참조],1,True,media/q015_media_1.gif,소프트웨어 아키텍처의 설계과정 설계목표설정 -시스템 타입 결정 - 아키텍처 패턴 적용 - 서브시스템 구체화 - 검토 [해설작성자 : 꿍디팡팡] 조금더 디테일하게 정리 할 필요가 있겠네요..,USER_IMPORTED_HWP
16,1,소프트웨어 설계,MULTIPLE_CHOICE,사용자 인터페이스를 설계할 경우 고려해야 할 가이드라인과 가장 거리가 먼 것은?,1,False,,사용자 친화적이게 설계되어야 하기에 사용성이 최우선으로 고려되어야 함 [해설작성자 : 동차합격가즈아],USER_IMPORTED_HWP
17,1,소프트웨어 설계,MULTIPLE_CHOICE,소프트웨어 설계에서 자주 발생하는 문제에 대한 일반적이고 반복적인 해결 방법을 무엇이라고 하는가?,2,False,,디자인패턴 : 객체 지향 프로그래밍 설계를 할 때 자주 발생하는 문제들을 피하기 위해 사용되는 패턴. [해설작성자 : comcbt.com 이용자],USER_IMPORTED_HWP
18,1,소프트웨어 설계,MULTIPLE_CHOICE,"객체지향 분석기법의 하나로 객체 모형, 동적 모형, 기능 모형의 3개 모형을 생성하는 방법은?",2,False,,"Rumbaugh(럼바우) 방법 모든 소프트웨어 구성 요소를 그래픽 표기법을 이용하여 모델링하는 기법으로, 객체 모델링 기법(Object Modeling Technique) 라고도 한다..분석활동은 객체모델링 -> 동적 모델링 -> 기능 모델링 순으로 통해 이루어진다 Booch(부치) 방법 미시적(Micro) 개발 프로세스와 거시적(Macro) 개발 프로세스를 모두 사용하는 분석 방법으로, 클래스와 객체들을 분석 및 식별하고 클래스의 속성과 연산을 정의한다. Jacobson 방법 Use Case를 강조하여 사용하는 분석 방법이다. Coad와 Yourdon 방법 E-R 다이어그램을 사용하여 객체의 행위를 모델링하며, 객체 식별, 구조 식별, 주제 정의, 속성과 인스턴스 연결 정의, 연산과 메시지 연결 정의 등의 과정으로 구성하는 기법 Wirfs-Brock 방법 분석과 설계 간의 구분이 없고, 고객 명세서를 평가해서 설계 작업까지 연속적으로 수행하는 기법 [해설작성자 : ham]",USER_IMPORTED_HWP
19,1,소프트웨어 설계,MULTIPLE_CHOICE,입력되는 데이터를 컴퓨터의 프로세서가 처리하기 전에 미리 처리하여 프로세서가 처리하는 시간을 줄여주는 프로그램이나 하드웨어를 말하는 것은?,2,False,,EAI(Enterprise Application Integration): 기업 응용 프로그램 통합으로 기업용 응용 프로그램의 구조적 통합 방안을 가리킴 FEP(Front-End Processor): 입력되는 데이터를 컴퓨터의 프로세서가 처리하기 전에 미리 처리하여 프로세서가 차지하는 시간을 줄여주는 프로그램이나 하드웨어 GPL(General Public License): 자유 소프트웨어 재단(OSF)에서 만든 자유 소프트웨어 라이선스 Duplexing: 이중화(데이터베이스의 회복 기법 중 가장 간단한 것) [해설작성자 : 빡대가리] 이중통신(duplex) 또는 쌍방향 통신은 두 지점 사이에서 정보를 주고 받는 전자 통신 시스템을 말한다..이중 통신을 할 때 전송 방향마다 두 개의 통신 선호를 사용하면 단순하지만 전송로를 아끼기 위해 여러 종류의 전송 방식이 쓰인다. [해설작성자 : 짱돌],USER_IMPORTED_HWP
20,1,소프트웨어 설계,MULTIPLE_CHOICE,객체 지향 개념 중 하나 이상의 유사한 객체들을 묶어 공통된 특성을 표현한 데이터 추상화를 의미하는 것은?,2,False,,"Method(메서드) : 클래스로부터 생성된 객체를 사용하는 방법, 객체가 메시지를 받아 실행해야 할 객체의 구체적인 연산 Message(메시지) : 객체 간 상호 작용을 하기 위한 수단, 객체에게 어떤 행위를 하도록 지시하는 방법 Class(클래스) : 특정 객체 내에 있는 변수와 메서드를 정의하는 일종의 틀, 객체 지향 프로그래밍에서 데이터를 추상화하는 단위 Field(필드) : SQL에서 열 또는 속성이라고 불리는 것 [해설작성자 : 기묘] 氠瑢 2과목 : 소프트웨어 개발",USER_IMPORTED_HWP
21,2,소프트웨어 개발,MULTIPLE_CHOICE,클린 코드(Clean Code)를 작성하기 위한 원칙으로 틀린 것은?,1,False,,"추상화 : 상위 클래스; 프로그램 특성만 간략하게, 하위 클래스; 세부적 내용 구현 의존성(배제) : 다른 모듈에 미치는 영향을 최소화하여 코드 변경시 영향이 가지 않도록 중복성(최소화) : 코드의 중복을 최소화 가독성 : 누구든지 읽기 쉽게 작성 단순성 : 코드를 단순하게 작성(프로그램을 최소단위로 분리해 작업을 한번에 하나씩 처리하도록) [해설작성자 : 센딘] 추상화 : 상위 클래스, 메소드, 함수에서는 간략하게 애플리케이션의 특성을 나타냄, 상세 내용은 하위 클래스,메소드, 함수에서 구현 [해설작성자 : 붙어보자]",USER_IMPORTED_HWP
22,2,소프트웨어 개발,MULTIPLE_CHOICE,"단위 테스트에서 테스트의 대상이 되는 하위 모듈을 호출하고, 파라미터를 전달하는 가상의 모듈로 상향식 테스트에 필요한 것은?",2,False,,"테스트 스텁 - 제어 모듈이 호출하는 타 모듈의 기능을 단순히 수행하는 도구로, 일시적으로 필요한 조건만을 가지고 있는 테스트용 모듈 테스트 슈트 - 테스트 대상 컴포넌트나 모듈, 시스템에 사용되는 테스트 케이스의 집합 테스트 케이스 - 사용자의 요구사항을 정확히 준수했는지 확인하기 위한 입력 값, 실행조건, 기대결과 등으로 만들어진 테스트 항목의 명세서 [해설작성자 : 김라마] 스텁(stub)은 하향식 드라이버(driver)는 상향식 [해설작성자 : 사는게힘들다]",USER_IMPORTED_HWP
23,2,소프트웨어 개발,MULTIPLE_CHOICE,스택(Stack)에 대한 옳은 내용으로만 나열된 것은? [이미지 자료 참조],3,True,media/q023_media_1.gif,FIFO-큐 방식 한쪽에서 삽입과 삭제가 모두 이루어 짐 [해설작성자 : 꾸꾸까까] ㉡ 큐 방식 ㉢ 데크(Deque)설명 [해설작성자 : ITK] 스택은 LIFO방식으로 처리된다. [해설작성자 : 코봉이],USER_IMPORTED_HWP
24,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어 모듈화의 장점이 아닌 것은?,2,False,,"모듈화의 장점 - 프로그램의 효율적인 관리 - 이해하기 쉬운 소프트웨어 - 소프트웨어 시험, 통합, 수정 시 용이 - 모듈 재사용 가능 - 오류의 파급력 최소화 [해설작성자 : 이케이]",USER_IMPORTED_HWP
25,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어 프로젝트 관리에 대한 설명으로 가장 옳은 것은?,4,False,,"· 프로젝트 관리는 주어진 기간 내에 최소의 비용으로 사용자를 만족시키는 시스템을 개발하기 위한 전반적인 활동 · 프로젝트 관리는 소프트웨어 개발 계획을 세우고 분석, 설계, 구현 등의 작업을 통제하는 것으로 소프트웨어 생명 주기의 전 과정에 걸쳐 진행됨 · 소프트웨어 프로젝트를 성공적으로 수행하기 위해서는 수행할 작업의 범위, 필요한 자원, 수행 업무, 이정표, 비용 추진 일정들을 알아야 함 - 소요인력은 최소화 하는 것이 좋음 ※ 프로젝트 관리는 제한된 시간과 비용으로 좋은 품질의 시스템을 개발하여 고객에게 제공함 [해설작성자 : 강썬]",USER_IMPORTED_HWP
26,2,소프트웨어 개발,MULTIPLE_CHOICE,정형 기술 검토(FTR)의 지침으로 틀린 것은?,4,False,,### 정형기술검토(FTR)의 지침 - 오류 검출에 초점을 두고 해결책을 나중으로 미룸(제품 검토의 집중성) - 검토를 위한 자료를 사전에 배포하여 검토하도록 한다(사전 준비성) - 의견을 제한하되 충분히 받아들인다(의제의 제한성) - 안건을 세우면 고수한다(안건 고수성) - 논쟁과 반박을 제한한다(논쟁 반박의 제한성) - 문제 영역을 공개한다(문제 공개성) - 참가자의 수를 제한한다(참가 인원의 제한성) - 발견된 오류는 문서화한다(문서성) [해설작성자 : 강썬] FTR 지침 사항 : 한번 더 리뷰하세요~~ 제품 검토에만 집중하라 의제를 제한하여 진행하라 논쟁과 반박을 제한하라 문제영역을 정확히 표현하라 해결책이나 개선책에 대해서는 논하지 말라 참가자수를 제한하고 사전준비를 강요하라 자원과 시간 일정을 할당하라 모든 검토자들을 위해 의미있는 훈련을 시행하라 검토자들은 사전에 작성한 메모들을 공유하라 검토의 과정과 결과를 재검토하라 [해설작성자 : -학습자-],USER_IMPORTED_HWP
27,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어 재공학의 주요 활동 중 기존 소프트웨어 시스템을 새로운 기술 또는 하드웨어 환경에서 사용할 수 있도록 변환하는 작업을 의미하는 것은?,2,False,,Analysis: 기존 소프트웨어를 분석하여 재공학 대상을 선정하는 것 Migration: 기존 소프트웨어를 다른 운영체제나 하드웨어 환경에서 사용할 수 있도록 변환하는 작업 Restructuring: 기존 소프트웨어를 향상시키기 위하여 코드를 재구성하는 작업(기능과 외적 동작은 변하지 않음) Reverse Engineering: 기존 소프트웨어를 분석하여 소스코드를 얻어내는 작업(소스코드로 소프트웨어를 만드는 작업의 역작업) [해설작성자 : KNAPA],USER_IMPORTED_HWP
28,2,소프트웨어 개발,MULTIPLE_CHOICE,정보시스템 개발 단계에서 프로그래밍 언어 선택 시 고려할 사항으로 가장 거리가 먼 것은?,4,False,,"프로그래밍 언어의 선정 기준 - 친밀감 - 언어의 능력 - 처리의 효율성 - 프로그램 구조 - 프로그램의 길이 [해설작성자 : 지나가던 이용자] 프로그래밍 언어의 선정 기준 : 친밀감, 언어의 능력, 처리의 효율성, 프로그램 구조, 프로그램의 길이, 이식성, 과거의 개발 실적, 알고리즘과 계산상의 난이도, 자료 구조의 난이도, 성능 고려 사항들, 대상 업무의 성격, 소프트웨어의 수행 환경, 개발 담당자의 경험과 지식, 사용자의 요구사항, 컴파일러의 이용 가능성 [해설작성자 : 지나가던 이용자]",USER_IMPORTED_HWP
29,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어 패키징에 대한 설명으로 틀린 것은?,1,False,,"소프트웨어 패키징은 소비자 중심으로 진행한다. [해설작성자 : 주주] - 모듈별로 생성한 실행 파일들을 묶어 배포용 설치 파일을 만드는 것. - 개발자가 아니라 사용자 중심으로 진행함. - 소스 코드는 향후 관리를 고려하여 모듈화하여 패키징함. - 사용자가 소프트웨어를 사용하게 될 환경을 이해하여, 다양한 환경에서 소프트웨어를 손쉽게 사용할 수 있도록 일반적인 배포 형태로 패키징함. - 사용자를 중심으로 진행되는 작업이므로 사용자의 편의성 및 실행 환경을 우선적으로 고려해야 함. [해설작성자 : 해시]",USER_IMPORTED_HWP
30,2,소프트웨어 개발,MULTIPLE_CHOICE,자료 구조의 분류 중 선형 구조가 아닌 것은?,1,False,,"-비선형 구조 : 트리, 그래프 -선형 구조 : 스택, 큐, 데크, 리스트 -파일 구조 : 순차파일, 색인파일, 직접파일 [해설작성자 : 정처기만 보면 ]",USER_IMPORTED_HWP
31,2,소프트웨어 개발,MULTIPLE_CHOICE,아주 오래되거나 참고문서 또는 개발자가 없어 유지보수 작업이 아주 어려운 프로그램을 의미하는 것은?,4,False,,Alien code : 개발자가 퇴사를 했거나 현재 사용하지 않는 환경 및 언어로 작성되었거나 프로그램의 관련 문서나 주석이 없는 상태에서 시간이 흐른 뒤 유지보수가 불가능하거나 힘든 프로그램 소스 코드 [해설작성자 : 이케이],USER_IMPORTED_HWP
32,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어를 재사용함으로써 얻을 수 있는 이점으로 가장 거리가 먼 것은?,4,False,,**소프트웨어 재사용함으로써 얻을 수 있는 이점들**,USER_IMPORTED_HWP
33,2,소프트웨어 개발,MULTIPLE_CHOICE,인터페이스 간의 통신을 위해 이용되는 데이터 포맷이 아닌 것은?,1,False,,"▶JSON(Javascript Object Notation) 속성-값 쌍 또는 “키-값 쌍”으로 이루어진 데이터 오브젝트를 전달하기 위해 인간이 읽을 수 있는 텍스트를 사용하는 개방형 표준 포맷, AJAX에서 많이 사용되고 XML을 대체하는 주요 데이터 포맷 ▶ XML(Extensible Markup Language) HTML의 단점을 보완한 인터넷 언어, SGML의 복잡한 단점을 개선한 특수한 목적을 갖는 마크업 언어 ▶ AJAX(Asynchronous Javascript And XML) 자바스크립트를 사용하여 웹 서버와 클라이언트 간 비동기적으로 XML 데이터를 교환하고 조작하기 위한 웹 기술, XMLHttpRequest 객체를 이용해 전체 페이지를 새로 로드하지 않고 필요한 부분만 로드한다. ▶ REST(Representational State Transfer) ⦁ 웹과 같은 분산 하이퍼미디어 환경에서 자원의 존재/상태 정보를 표준화된 HTTP 메서드로 주고받는 웹 아키텍처 (리소스, 메서드, 메시지) ⦁ HTTP URI를 통해 자원을 명시하고, HTTP 메서드(POST, GET, PUT, DELETE)를 통해 해당 자원에 대한 생성, 조회, 갱신, 삭제 등의 명령을 적용할 수 있는 분산 하이퍼미디어 시스템을 위한 소프트웨어 아키텍처이다. [해설작성자 : 강썬] YAML: JSON과 비슷하게 사람이 읽기 쉬운 형태의 데이터 표현 형식. - YAML은 XML과 문법적으로 유사한 점이 많음. - YAML에서도 주석을 사용 가능하며 개행, 공백으로 블록을 인식. - 태그를 사용하지 않고 공백 위주로 데이터를 구분하므로 한 줄로 작성할 수 없다는 특징. [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
34,2,소프트웨어 개발,MULTIPLE_CHOICE,프로그램 설계도의 하나인 NS Chart에 대한 설명으로 가장 거리가 먼 것은?,3,False,,"NS-Chart(Nassi-Schneiderman Chart) - 3가지 기본구조만으로 논리를 표현(표준화 가능) - Flow Chart의 최대 단점인 화살표가 표시되지 않음 - 기본구조의 입구와 출구는 각 하나씩 - 전체적인 알고리즘을 일목요연하게 볼 수 있음 [해설작성자 : polo9332] N-S 차트는 논리 기술에 중점을 둔 도형을 이용한 표현 방법으로 박스 다이어그램, Chapin Chart 라고도 한다. - GOTO나 화살표를 사용하지 않는다. [해설작성자 : jun]",USER_IMPORTED_HWP
35,2,소프트웨어 개발,MULTIPLE_CHOICE,"순서가 A, B, C, D로 정해진 입력자료를 push, push, pop, push, push, pop, pop, pop 순서로 스택연산을 수행하는 경우 출력 결과는?",1,False,,스택연산 : 입구 및 출구가 하나 A B C D 순으로 입력되었을때 출력순서는 D C B A 순 push 입력 pop 출력 push A push A B pop_ A / B push A C / B push A C D / B pop_ A C / B D pop_ A / B D C pop_ / B D C A [해설작성자 : .],USER_IMPORTED_HWP
36,2,소프트웨어 개발,MULTIPLE_CHOICE,분할 정복(Divide and Conquer)에 기반한 알고리즘으로 피벗(pivot)을 사용하며 최악의 경우 [이미지 자료 참조] 회의 비교를 수행해야 하는 정렬(Sort)은?,4,True,media/q036_media_1.gif,"- Selection Sort - 배열 내에서 최소값을 찾은 다음 정렬 되지 않은 맨 앞 값과 교환을 하며 정렬을 해 나아가는 방법 (정렬 시간 복잡도 모두 O(n^2)) - Bubble Sort - 왼쪽에서 부터 두 데이터를 비교해서 앞에 있는 데이터가 뒤에 있는 데이터 보다 크면 자리를 바꾸는 정렬 알고리즘(정렬 시간 복잡도 모두 O(n^2)) - Insert Sort - 한 개의 값을 추출한 다음 앞쪽으로 비교해서 본인의 자리를 알맞게 찾아가게끔 하는 정렬 방법. 정렬 시간 복잡도는 최상일 경우 O(n), 평균과 최악일 경우 O(n^2) - 병합 정렬 - 또한 분할 정복에 기반한 알고리즘으로 리스트를 1 이하인 상태까지 절반으로 자른 다음 재귀적으로 합병 정렬을 이용해서 전체적인 리스트를 합병하는 정렬 과정. O(n log n) ※ n(n-1)/2 = O(n^2) [해설작성자 : 나태규] 정렬이란? 여러 개의 자료를 순서에 따라 나열하는 방법 8개 종류: [선택, 버블, 삽입, 쉘, 퀵, 힙, 이진병합, 버킷정렬] 종류 최상 평균 최악 선택 정렬 O(n) O(n2) O(n2) 버블 정렬 O(n2) O(n2) O(n2) 삽입 정렬 O(n2) O(n2) O(n2) 쉘 정렬 O(n) O(n1.5) O(n2) 퀵 정렬 O(nlog2n) O(nlog2n) O(n2) 힙 정렬 O(nlog2n) O(nlog2n) O(nlog2n) 이진병합 정렬 O(nlog2n) O(nlog2n) O(nlog2n) 버킷 정렬 O(dn) O(dn) O(dn) [해설작성자 : SD.신동] 퀵 정렬: 분할 정복 알고리즘의 하나로, 평균적으로 매우 빠른 수행 속도를 자랑하는 정렬 방법 - 하나의 리스트를 피벗(pivot)을 기준으로 두 개의 비균등한 크기로 분할하고 분할된 부분 리스트를 정렬한 다음, 두 개의 정렬된 부분 리스트를 합하여 전체가 정렬된 리스트가 되게 하는 방법 [해설작성자 : comcbt.com 이용자]",USER_IMPORTED_HWP
37,2,소프트웨어 개발,MULTIPLE_CHOICE,화이트 박스 검사 기법에 해당하는 것으로만 짝지어진 것은? [이미지 자료 참조],1,True,media/q037_media_1.gif,화이트박스 테스트의 종류,USER_IMPORTED_HWP
38,2,소프트웨어 개발,MULTIPLE_CHOICE,소프트웨어 품질 관련 국제 표준인 ISO/IEC 25000에 관한 설명으로 옳지 않은 것은?,3,False,,"ISO/IEC 25000 - SW 품질 평가 통합 모델 - SQuaRE로도 불림 - ISO/IEC 9126, ISO/IEC 12119, ISO/IEC 14598의 3개 표준을 통합한 모델 - 2500n : 개요 및 품질관리 - 2501n : 품질모델 - 2502n : 품질측정 - 2503n : 품질요구 - 2504n : 품질평가 - 2505n : 확장분야 [해설작성자 : 내일부터갓생산다]",USER_IMPORTED_HWP
39,2,소프트웨어 개발,MULTIPLE_CHOICE,코드 인스펙션과 관련한 설명으로 틀린 것은?,3,False,,코드 인스펙션 - 결함 뿐만 아니라 모든 것이 표준대로 되어 있는 지 확인하기 위한 검토 - 표준이나 명세서에 서술한 내용과 비교하여 편차와 에러를 식별하기 위해 산출물을 근거로 수행하는 검사 - 정적 테스트에 가까움 [해설작성자 : 강썬],USER_IMPORTED_HWP
40,2,소프트웨어 개발,MULTIPLE_CHOICE,"프로젝트에 내재된 위험 요소를 인식하고 그 영향을 분석하여 이를 관리하는 활동으로서, 프로젝트를 성공시키기 위하여 위험 요소를 사전에 예측, 대비하는 모든 기술과 활동을 포함하는 것은?",2,False,,,USER_IMPORTED_HWP
